World Rank,Institution,Country,Year
70,  University of Malaya  , Malaysia ,2020
87,  University of Malaya  , Malaysia ,2019
89,  University of Malaya  , Malaysia ,2004
111,  University of Science - Malaysia  , Malaysia ,2004
114,  University of Malaya  , Malaysia ,2018
133,  University of Malaya  , Malaysia ,2017
146,  University of Malaya  , Malaysia ,2016
151,  University of Malaya  , Malaysia ,2015
156,  University of Malaya  , Malaysia ,2012
159,  University of Putra Malaysia  , Malaysia ,2020
160,  National University of Malaysia  , Malaysia ,2020
165,  University of Science - Malaysia  , Malaysia ,2020
167,  University of Malaya  , Malaysia ,2013
167,  University of Malaya  , Malaysia ,2011
169,  University of Malaya  , Malaysia ,2005
180,  University of Malaya  , Malaysia ,2009
184,  National University of Malaysia  , Malaysia ,2019
185,  National University of Malaysia  , Malaysia ,2006
192,  University of Malaya  , Malaysia ,2006
202,  University of Putra Malaysia  , Malaysia ,2019
207,  University of Malaya  , Malaysia ,2010
207,  University of Science - Malaysia  , Malaysia ,2019
217,  University of Technology - Malaysia  , Malaysia ,2020
228,  University of Technology - Malaysia  , Malaysia ,2019
229,  University of Putra Malaysia  , Malaysia ,2018
230,  National University of Malaysia  , Malaysia ,2018
253,  University of Technology - Malaysia  , Malaysia ,2018
259,  National University of Malaysia  , Malaysia ,2015
261,  National University of Malaysia  , Malaysia ,2012
263,  National University of Malaysia  , Malaysia ,2010
264,  University of Science - Malaysia  , Malaysia ,2018
269,  National University of Malaysia  , Malaysia ,2013
270,  University of Putra Malaysia  , Malaysia ,2017
279,  National University of Malaysia  , Malaysia ,2011
288,  University of Technology - Malaysia  , Malaysia ,2017
289,  University of Science - Malaysia  , Malaysia ,2016
294,  University of Technology - Malaysia  , Malaysia ,2015
302,  National University of Malaysia  , Malaysia ,2017
303,  University of Technology - Malaysia  , Malaysia ,2016
309,  University of Science - Malaysia  , Malaysia ,2015
309,  University of Science - Malaysia  , Malaysia ,2010
312,  National University of Malaysia  , Malaysia ,2016
319,  University of Putra Malaysia  , Malaysia ,2010
326,  University of Science - Malaysia  , Malaysia ,2012
330,  University of Science - Malaysia  , Malaysia ,2017
331,  University of Putra Malaysia  , Malaysia ,2016
335,  University of Science - Malaysia  , Malaysia ,2011
355,  University of Science - Malaysia  , Malaysia ,2013
355,  University of Technology - Malaysia  , Malaysia ,2013
358,  University of Putra Malaysia  , Malaysia ,2011
358,  University of Technology - Malaysia  , Malaysia ,2012
360,  University of Putra Malaysia  , Malaysia ,2012
365,  University of Technology - Malaysia  , Malaysia ,2010
376,  University of Putra Malaysia  , Malaysia ,2015
411,  University of Putra Malaysia  , Malaysia ,2013
401,  International Islamic University Malaysia  , Malaysia ,2012
402,  University of Technology - Malaysia  , Malaysia ,2011
442,  UCSI University  , Malaysia ,2020
